week_start,total_events_country,conflict_count,avg_goldstein,avg_tone,goldstein_volatility,total_mentions_conflict,days_covered,week_label,google_trends_score
2025-05-12,23689,1451,-9.822880771881461,-5.3193924046827545,0.3274566129444622,16079.0,7,2025-W20,5.0
2025-05-19,17502,2021,-9.864918357248886,-5.589897754117032,0.3071932274232713,40008.0,7,2025-W21,5.0
2025-05-26,17625,2365,-9.828752642706132,-5.481586047943397,0.35063685128469047,34109.0,7,2025-W22,9.0
2025-06-02,19565,3141,-9.85116205030245,-5.375116090641541,0.3291410644265565,42745.0,7,2025-W23,6.0
2025-06-09,9128,1636,-9.84382640586797,-5.777106174320064,0.33119895874652217,22184.0,5,2025-W24,6.0
2025-06-16,180,13,-9.807692307692308,-4.2316877305870175,0.3839738238941524,27.0,0,2025-W25,6.0
2025-06-23,250,16,-9.9375,-4.303564404799144,0.25,81.0,0,2025-W26,5.0
2025-06-30,10358,1678,-9.848927294398093,-5.303816491527481,0.3347789782816334,31399.0,5,2025-W27,5.0
2025-07-07,16420,2427,-9.852286773794809,-5.7977113811346195,0.32881335550087626,44078.0,7,2025-W28,5.0
2025-07-14,17086,1842,-9.874864277958741,-5.217210812597216,0.3024490081590404,22224.0,7,2025-W29,5.0
2025-07-21,13544,1430,-9.804545454545455,-5.800608481178085,0.3685696204413545,13917.0,7,2025-W30,6.0
2025-07-28,11543,1714,-9.864935822637106,-6.153274924406927,0.30464648719497733,26500.0,7,2025-W31,8.0
2025-08-04,18018,1452,-9.830922865013774,-4.917692779102006,0.3450362433253217,25710.0,7,2025-W32,12.0
2025-08-11,33942,1819,-9.810885101704233,-3.964388116907313,0.3564157185912077,21400.0,7,2025-W33,13.0
2025-08-18,35147,2491,-9.81573665194701,-3.725293357874609,0.35760421192572567,30448.0,7,2025-W34,8.0
2025-08-25,18417,2204,-9.858892921960072,-4.942044797184936,0.3139340080085098,27177.0,7,2025-W35,8.0
2025-09-01,15029,1799,-9.865480822679267,-5.644543849608225,0.3202876549570703,26465.0,7,2025-W36,9.0
2025-09-08,15349,2517,-9.850019864918554,-5.8940960400028235,0.3264520570484637,27826.0,7,2025-W37,7.0
2025-09-15,10742,1564,-9.846227621483376,-5.423881736561041,0.3386659906304352,15402.0,7,2025-W38,9.0
2025-09-22,15128,1632,-9.81924019607843,-5.390018375485514,0.36152807534138776,17837.0,7,2025-W39,9.0
2025-09-29,11025,1602,-9.86298377028714,-5.724632893691758,0.3187606167322583,14752.0,7,2025-W40,8.0
2025-10-06,9480,1406,-9.847795163584637,-5.123427458893247,0.33632741737429034,14884.0,7,2025-W41,8.0
2025-10-13,16963,1448,-9.873273480662984,-5.0043921609891,0.29683388454068316,11407.0,7,2025-W42,8.0
2025-10-20,18485,1776,-9.855292792792794,-5.254561817540841,0.33043739493368796,19090.0,7,2025-W43,7.0
2025-10-27,10030,1652,-9.803268765133172,-5.478185738853358,0.3638430954451908,13385.0,7,2025-W44,7.0
2025-11-03,9322,1338,-9.81576980568012,-5.293139271422392,0.36058339778963605,13511.0,7,2025-W45,7.0
2025-11-10,9775,1417,-9.83803810868031,-5.52502620510861,0.3435027960047594,14381.0,7,2025-W46,9.0
2025-11-17,23319,1769,-9.814019219898247,-4.739284069053301,0.36443435634264176,17183.0,7,2025-W47,10.0
2025-11-24,21450,1576,-9.834073604060913,-4.469745998480245,0.3530908848890059,22067.0,7,2025-W48,9.0
2025-12-01,18695,1425,-9.831228070175438,-4.3613921413580865,0.3446627064740014,13677.0,7,2025-W49,8.0
2025-12-08,17550,1339,-9.815160567587752,-4.655290011416938,0.36010113227999274,22181.0,7,2025-W50,7.0
2025-12-15,14432,1019,-9.861629048086359,-4.577761355353313,0.31340342226686385,9330.0,7,2025-W51,6.0
2025-12-22,14688,1736,-9.856854838709678,-4.876117427905329,0.32537137054750664,22265.0,7,2025-W52,8.0
2025-12-29,13975,1752,-9.873858447488585,-5.180068842985668,0.3329623341881089,20177.0,7,2026-W01,6.0
2026-01-05,12229,1538,-9.878088426527958,-5.055520287720999,0.29734411012651707,19979.0,7,2026-W02,6.0
